Cypridina sp	Australia	LIRSCyp2
Cypridina sp AUS	Australia	TOCC004G
Euphilomedes sp	Australia	Euph_microasciformis
Harbansus slatteryi	Australia	Harb_slatteryi
Vargula sp	Australia	LIRSCyp1
Vargula sp AUS	Australia	TOCC004F
Chelicopia lorica	Australia	Chlorica
Alternochelata lizardensis	Australia	AltLiz
Pterocypridina sp	Australia	TOCC004I
Paravargula maculosa	Japan	BothPara_w
Paravargula sp	Australia	TOCC003G
Paradoloria sp	Australia	TOCC004H
Maristella BZ_SVU	Belize	AllBzSVU
Maristella BZ_VAD	Belize	AllBzVAD
Maristella RO_DU	Roatan Honduras	AllRoDU
Maristella RO_RD	Roatan Honduras	AllRoRD
Photeros mcelroyi	Jamaica	Allmacelroy
Photeros mcelroyi 	Jamaica	J-MacElroyi_S2
Photeros mcelroyi 	Jamaica	J-MacElroyi2_S2
Photeros mcelroyi 	Jamaica	JMACELROY
Maristella JA_AU	Jamaica	JaAU_S56
Maristella JA_WLU	Jamaica	JaWLU_S67
Maristella JA_WTF	Jamaica	JaWTF_S54
PA_MFU	Panama	PMMFU
Maristella RO_AG	Roatan Honduras	RO_AG_S10
Maristella RO_AG	Roatan Honduras	RO-AG_S10
Photeros RO_WLU	Roatan Honduras	ROWLU_2018
Kornickeria marleyi	Jamaica	K_marleyi
Kornickeria marleyi	Jamaica	Km_S4_L001
Maristella RO_IR	Roatan Honduras	RoIR_S66
Photeros jamescasei	Jamaica	BothJamescasei
Photeros jamescasei	Jamaica	J-Jamescasei2_S5
Photeros jamescasei	Jamaica	J_Jamescasei-43938115
Photeros RO_GPH	Roatan Honduras	BothGPH
Photeros RO_GPH	Roatan Honduras	RO2015GPH
Maristella JA_LSZZ	Jamaica	BothJaLSZZ
Maristella JA_LSZZ	Jamaica	LSZZ_S3
Maristella JA_LSZZ	Jamaica	JAM_LSZZ
Maristella JA_OBD	Jamaica	BothJaOBD
Maristella JA_OBD	Jamaica	J-OBD_S52
Maristella JA_OBD	Jamaica	J_OBD
Maristella JA_SVD	Jamaica	BothJaSVD
Maristella JA_SVD	Jamaica	J_SVD
Maristella JA_SVD	Jamaica	J-SVD_S53
Maristella JA_VAD	Jamaica	BothJaVAD
Maristella JA_VAD	Jamaica	J-VAD_S55
Maristella JA_VAD	Jamaica	J_VAD-43931095
Photeros morini	Belize	BothPmorini
Kornickeria RO_CMU	Roatan Honduras	BothRoCMU
Kornickeria RO_CMU	Roatan Honduras	R-CMU_S63_L008
Kornickeria RO_CMU	Roatan Honduras	R-CMU_S5
Maristella RO_ODH	Roatan Honduras	BothRoODH
Maristella RO_ODH	Roatan Honduras	R_ODH
Maristella RO_ODH	Roatan Honduras	R-OHD_S65_L008
Maristella JA_SVD	Jamaica	J_SVD
Maristella JA_SVD	Jamaica	J-SVD_S53
Photeros annecohenae	Belize	Gruber_Pannecohenae
Kornickeria hastingsi carriebowae	Belize	Korn_hast_c
Jimmorinia gunnari	Jamaica	BothJaJimGun
Jimmorinia gunnari	Jamaica	J_JimGun-43942958
Jimmorinia gunnari	Jamaica	JAM_JIMMOR
Paravargula maculosa	Japan	3_S8_L001
Paravargula maculosa	Japan	3-2_S9_L001
Gigantocypris sp	California	Gigantocypris
Melavargula japonica	Japan	Jp_Melavar22
Skogsbergia sp_PA	Panama	PSKO
Skogsbergia sp_BZG	GloversPanama	GlovSkog	
Vargula hilgendorfii	Japan	Vhilg
Vargula hilgendorfii2	Shimoda Japan	BothVargula_hilgendorfii_shim
Vargula tsujii	California USA	Vtsu
Kornickeria CU_SDF	Curacao	curacao
Cypridinodes_sp	Japan	jpcyp2b
Photeros_PA_EGD	Panama	EGD_Niko
Photeros_PA_NOL	Panama	NOL_Niko
Photeros_PA_SFM	Panama	SFM_Niko
Darwinula_stevensoni	Published	Dstev_ENA
Cylindroleberidinae	Published	Cylindroleberidinae
Maristella_BZ_SVD	Belize	BothSVD
Paradoloria_sp	Australia	FatWhiteEye
Pterocypridina_sp	Australia	WhiteVanessa
Paravargula_sp	Australia	LongWhiteEye
Maristella chicoi	Belize	BothMSH
