otu,paralogyFrequency,timesAboveDivergenceThreshold
AllBzSVU,12.8,754
LIRSCyp2,9.0,2187
curacao,9.7,1001
PMMFU,15.5,778
BothRoODH,12.2,1453
RoIR_S66,14.6,866
BothJaOBD,12.8,1204
SFM_Niko,10.4,1538
JaWTF_S54,10.5,1116
AllRoDU,11.9,1372
JaWLU_S67,8.3,1428
BothMSH,13.1,1591
AllBzVAD,15.9,1038
BothGPH,13.2,1197
BothSVD,17.1,770
RO-AG_S10,8.2,1174
BothJaLSZZ,14.1,700
Vtsu,16.0,1017
EGD_Niko,8.8,2854
NOL_Niko,10.8,1402
jpcyp2b,2.4,1275
BothRoCMU,5.0,1653
ROWLU_2018,2.1,870
Korn_hast_c,5.4,1068
JaAU_S56,11.9,1193
PSKO,1.6,1975
BothPmorini,6.7,581
BothPara_w,7.6,1107
Jp_Melavar22,1.9,232
Allmacelroy,8.6,383
Vhilg,6.2,553
BothJaSVD,10.8,1950
AllRoRD,10.2,1255
FatWhiteEye,1.1,2064
LIRSCyp1,5.9,579
WhiteVanessaLIRS,1.2,952
BothJaVAD,14.2,1101
BothVhilg_shim,8.3,522
Gruber_Pannecohenae,3.6,1722
Gigantocypris,2.1,771
LongWhiteEye,1.9,1290
GlovSkog,3.2,525
BothJaJimGun,2.0,126
BothJamescasei,2.9,18
Chlorica,0.3,749
Cylindroleberidinae,0.3,1634
Euph_microasciformis,0.3,999
Harb_slatteryi,0.3,931
AltLiz,0.1,423
Dstev_ENA,0,472
